Timestamp,ens2 (W),ens2 Utilization (pps),CPUMaxIdleModel (W),CPUMaxIdleModel Utilization (%)
1718910750,3.267,0.0,1.488,"[0.0, 0.0, 0.0, 0.0]"
1718910751,3.267000837593079,0.000514984130859375,1.515085625,"[7.5, 4.0, 4.0, 2.0]"
1718910752,3.267001101493835,0.0006771087646484375,1.49264325,"[1.0, 0.0, 1.0, 1.0]"
1718910753,3.267000744895935,0.000457763671875,1.49264325,"[1.0, 0.0, 1.0, 1.0]"
1718910754,3.267033626270294,0.020714759826660156,1.5034775,"[3.0, 0.0, 3.0, 4.0]"
1718910755,3.2670138648796083,0.008516311645507812,1.7622613,"[44.8, 43.9, 49.5, 39.0]"
1718910756,3.2693180929374694,1.4308013916015625,1.79414495,"[36.2, 41.3, 82.9, 37.4]"
1718910757,3.270268643817902,2.01760196685791,1.9678025,"[100.0, 81.0, 33.0, 96.0]"
1718910758,3.2700289993476863,1.869699478149414,1.961766275,"[100.0, 97.0, 19.0, 90.1]"
1718910759,3.270168277759552,1.9556665420532227,1.962385375,"[100.0, 99.0, 18.4, 89.1]"
1718910760,3.270207293720245,1.9797544479370117,1.96935025,"[100.0, 100.0, 11.0, 100.0]"
1718910761,3.269951559791565,1.8219070434570312,1.972600525,"[100.0, 99.0, 14.1, 100.0]"
1718910762,3.270187132129669,1.9673166275024414,1.965171325,"[98.0, 100.0, 10.3, 100.0]"
1718910763,3.2703419297790526,2.0628719329833984,1.96625475,"[100.0, 100.0, 9.0, 100.0]"
1718910764,3.269935890026092,1.8122320175170898,1.969195475,"[100.0, 100.0, 10.9, 100.0]"
1718910765,3.2700939673805234,1.9097929000854492,1.967338175,"[100.0, 97.0, 33.7, 79.0]"
1718910766,3.2702630693435664,2.0141334533691406,1.9660999749999999,"[100.0, 16.8, 100.0, 92.1]"
1718910767,3.270036548194885,1.874298095703125,1.97739855,"[100.0, 16.2, 100.0, 100.0]"
1718910768,3.270320802745819,2.0497589111328125,1.9739935,"[100.0, 63.5, 100.0, 50.5]"
1718910769,3.269941673069,1.8157434463500977,1.96439745,"[100.0, 8.8, 100.0, 99.0]"
1718910770,3.2703113654899596,2.043919563293457,1.9645522249999998,"[100.0, 7.9, 100.0, 100.0]"
1718910771,3.269983894500732,1.8418045043945312,1.96563565,"[98.0, 12.6, 100.0, 98.0]"
1718910772,3.270250690383911,2.0064926147460938,1.961456725,"[92.0, 93.9, 100.0, 20.0]"
1718910773,3.2701025192070006,1.915034294128418,1.9498486,"[100.0, 100.0, 94.4, 4.0]"
1718910774,3.2701951122093202,1.9721870422363281,1.9498486000000002,"[100.0, 94.3, 100.0, 4.1]"
1718910775,3.270137414073944,1.9365644454956055,1.9603733,"[82.2, 100.0, 100.0, 23.0]"
